released_year,streams,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,season,bpm_category,charted_on_spotify
2023,173627354,G,Major,62,32,76,0,0,39,4,spring,2,True
2023,90025258,G,Minor,70,86,68,24,0,11,4,winter,2,True
2021,652704649,A#,Major,77,84,71,35,0,15,4,winter,3,True
2002,1829992958,D,Major,70,6,73,1,0,36,26,winter,3,True
2002,655466831,E,Minor,80,64,76,2,0,20,6,spring,2,True
2023,146409671,B,Major,82,53,67,34,0,9,8,spring,1,True
2023,95816024,G,Minor,73,44,57,39,0,32,6,spring,1,True
2023,117206995,F,Minor,65,71,56,4,0,15,20,spring,1,True
2023,100409613,B,Minor,72,79,78,55,0,15,30,spring,2,True
2023,80758350,G#,Major,71,80,65,51,0,22,32,spring,1,False
2022,325592432,G#,Major,70,70,79,7,0,18,10,fall,2,True
2023,58473276,F#,Minor,48,50,80,40,0,37,20,spring,1,False
2023,52722996,G,Major,73,22,86,31,0,12,4,spring,2,False
2021,191945597,D,Minor,78,75,46,62,0,12,35,winter,3,True
2023,77377503,B,Minor,67,11,76,8,47,30,7,spring,3,False
2022,743693613,A#,Major,71,90,73,30,0,11,5,spring,2,True
2022,267789608,F#,Major,74,79,87,45,0,30,3,winter,2,True
2020,1221813483,F,Major,65,63,79,3,0,10,3,spring,2,True
2022,449701773,G,Major,59,22,38,42,0,12,3,spring,2,True
2023,67070410,A,Major,72,42,66,18,4,19,4,spring,1,False
2023,116334601,G,Minor,70,76,79,26,0,11,7,spring,3,True
2022,433356509,A,Major,64,18,37,72,0,12,7,fall,3,True
2023,165584767,G,Major,90,96,73,62,0,9,4,winter,2,True
2022,367814306,A,Major,73,64,85,25,0,61,3,spring,2,True
2022,477033549,F,Minor,76,46,79,31,0,7,6,spring,1,True
2022,156214700,G#,Minor,81,64,79,5,0,31,3,fall,2,True
2022,448843705,A#,Major,71,57,97,1,0,13,11,winter,2,True
1995,1357608774,G#,Major,63,40,61,9,0,56,6,summer,1,True
2022,294352144,F,Minor,95,43,69,47,0,9,31,fall,2,True
2014,972164968,A#,Major,58,46,67,65,0,13,4,fall,1,True
2017,920045682,F#,Major,60,77,78,45,0,12,6,winter,3,True
2016,2420461338,A#,Major,40,45,56,69,0,9,5,fall,1,True
2015,1947371785,B,Minor,36,12,57,9,0,14,8,spring,3,True
2019,244658767,G#,Minor,90,64,14,67,35,11,10,spring,3,False
2023,68216992,A#,Minor,71,41,31,79,0,10,5,spring,1,False
2022,223582566,C#,Major,77,72,87,17,0,7,5,winter,1,True
2022,471819764,B,Minor,83,58,83,21,0,10,5,summer,1,True
2022,272377463,G,Minor,70,34,55,43,0,16,6,winter,3,False
2003,1361425037,A,Major,50,24,86,0,0,64,4,spring,2,True
2023,149778242,F#,Major,64,30,77,46,0,38,6,winter,1,False
2023,116599790,B,Minor,68,81,82,53,0,9,13,spring,1,True
2022,148469433,G,Major,61,92,91,0,0,26,3,winter,3,True
2022,497225336,F#,Minor,59,20,74,1,0,15,5,summer,3,True
2023,88791109,F#,Minor,64,67,80,0,0,36,3,spring,2,True
2023,125917280,D#,Minor,66,43,76,49,0,12,3,spring,3,True
2023,105062254,C#,Minor,84,44,67,8,0,11,6,winter,3,False
2023,95623148,G#,Major,56,72,85,0,0,15,3,winter,1,False
2023,144584800,F,Major,57,68,76,7,0,33,3,winter,1,True
2022,298063749,D,Minor,74,51,45,86,0,21,38,winter,3,True
2023,166570053,D,Major,56,20,43,89,0,12,4,winter,2,True
2023,83021468,D,Major,68,83,81,9,0,8,4,winter,3,False
2022,139836056,A,Major,59,44,56,80,0,6,3,fall,1,False
2022,303216294,G#,Major,73,65,79,5,2,11,6,fall,1,True
2022,221409663,G,Minor,79,66,74,8,0,11,5,winter,2,True
2023,58890931,E,Major,50,49,76,12,0,12,3,spring,3,False
2023,81419389,C#,Major,70,29,73,12,0,11,26,spring,1,False
2022,156777415,B,Major,58,26,38,91,0,10,4,spring,3,True
2022,284908316,G,Major,36,28,28,81,0,18,3,winter,1,True
2023,93438910,F#,Major,86,68,79,39,0,11,29,winter,3,True
2022,363472647,E,Minor,59,78,94,27,0,29,23,summer,1,True
2011,372476382,A,Minor,59,49,65,2,0,13,3,winter,1,False
2022,380726517,A#,Minor,87,82,70,42,0,21,5,fall,3,True
2023,56533272,D,Major,49,48,67,10,0,26,3,spring,3,False
2023,175399345,E,Minor,72,96,63,25,0,21,7,winter,3,True
2022,203221468,F#,Major,53,51,70,49,0,14,3,spring,3,True
2000,1624165576,D#,Minor,55,40,90,1,0,32,6,fall,1,True
2022,134294498,F,Major,81,97,77,75,0,35,3,winter,3,True
2022,70069745,E,Minor,82,61,59,30,0,12,4,summer,2,False
2022,609293408,F,Major,74,43,69,12,0,12,7,summer,1,True
2022,671365962,A#,Major,88,43,50,7,0,14,5,spring,2,True
2022,362361576,G#,Minor,76,49,56,80,12,10,13,fall,1,True
2022,93587665,C#,Major,53,40,36,73,0,11,33,winter,1,True
2021,1223481149,B,Minor,72,59,76,24,0,42,28,fall,1,True
2017,1022258230,B,Minor,75,18,25,78,0,11,26,summer,3,True
2022,263453310,C#,Major,65,72,95,31,0,92,5,fall,3,True
2019,1435127549,G,Major,75,43,65,15,0,11,32,summer,3,True
2022,236857112,B,Major,73,88,57,56,0,5,2,fall,1,True
2023,147538971,B,Minor,66,47,40,72,0,11,3,winter,2,False
2020,698086140,F,Minor,66,16,57,10,1,12,3,winter,2,True
2022,723894473,A#,Minor,84,72,74,10,0,34,7,summer,2,True
2023,34450974,F,Major,53,61,81,5,0,36,4,spring,3,False
