released_year,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,season,bpm_category,charted_on_spotify,class_label_apple_chart_category
2023,197,32761689,3,3,F,Major,92,59,51,41,51,26,8,3,1,False,1
2022,4004,1047480053,34,43,G,Minor,80,23,48,14,0,6,5,2,1,True,2
2023,984,153454328,8,76,F#,Major,59,63,89,18,0,80,9,1,3,True,2
2023,1240,217672943,51,63,A,Major,91,63,58,52,0,31,22,1,2,True,1
2022,3995,457184829,72,47,B,Major,49,4,55,7,0,6,3,4,3,True,1
2016,7681,939844851,119,"1,145",A,Major,47,27,78,11,0,10,8,1,3,True,2
2021,4427,726434358,69,154,A#,Major,34,25,51,69,0,18,4,4,3,True,2
2022,4657,573633020,84,42,B,Minor,56,42,52,5,0,36,24,4,3,True,2
2021,10195,1406111294,258,657,F,Major,60,13,37,58,0,13,3,4,3,True,2
2023,269,71573339,7,30,A,Minor,84,55,47,26,0,20,64,2,2,True,1
2023,214,24975653,3,6,B,Major,83,25,69,4,0,23,12,3,3,False,1
2023,845,145458418,12,47,D,Major,67,55,67,60,0,80,5,1,2,True,2
2000,20763,1424589568,81,"3,271",F,Minor,95,78,66,3,0,4,6,1,1,True,2
2022,1267,231332117,41,56,F#,Minor,84,96,79,43,0,18,11,1,1,True,1
2021,2585,415932686,3,21,F#,Minor,65,46,53,16,0,9,5,1,1,True,2
2022,6330,988515741,109,158,G#,Major,44,27,32,89,0,14,5,3,3,True,1
2023,675,50847624,9,11,C#,Minor,62,56,66,18,0,12,5,2,3,True,1
2023,715,39893489,37,27,F#,Minor,50,44,76,10,0,32,5,2,3,False,1
2023,327,92035115,14,9,E,Minor,80,38,88,11,0,11,5,2,1,True,3
2023,244,118810253,6,10,G,Major,70,83,84,31,0,47,30,2,1,True,2
2023,385,77233241,17,41,F#,Minor,77,69,58,39,0,26,5,2,2,True,1
2023,1020,206399629,15,30,G#,Major,52,57,48,86,0,15,39,1,1,True,1
2023,1730,117747907,46,51,F,Major,44,36,41,50,0,38,5,2,1,True,1
2023,2127,266624541,45,53,C#,Minor,79,58,78,34,0,11,25,1,3,True,2
2022,3242,293186992,67,48,A,Major,51,27,33,48,0,22,3,2,3,True,2
2023,526,139681964,15,30,D,Major,77,94,66,65,0,38,3,1,2,True,2
2023,366,123132751,16,7,E,Minor,68,38,88,1,0,8,5,2,2,True,3
1997,472,103762518,0,6,F,Major,74,75,73,42,0,9,4,1,3,True,5
2023,432,162887075,8,12,D,Major,93,47,47,33,0,10,36,2,1,True,1
2023,271,91221625,16,9,G#,Major,77,35,88,16,0,17,9,2,3,True,3
2022,816,190490915,21,13,F#,Minor,94,71,61,12,0,53,42,2,2,True,1
2023,1169,96180277,36,28,A,Minor,60,10,57,1,0,50,3,2,2,False,2
2019,1282,185240616,26,19,D,Major,72,40,47,71,0,13,4,3,1,True,1
2022,6587,885093467,114,147,C#,Major,87,53,52,66,1,11,5,2,2,True,3
2023,1444,104992946,0,0,A,Major,90,74,68,14,0,10,19,2,3,True,5
2023,356,147290338,4,4,A,Major,57,80,59,8,0,6,5,1,3,True,2
2021,10147,1302184087,234,543,D,Major,79,82,86,28,0,4,9,4,3,True,2
2022,265,158950978,8,5,E,Minor,76,80,81,19,0,6,9,1,3,True,2
2023,351,76910644,16,10,B,Minor,76,26,70,1,0,41,6,2,2,True,2
2022,158,137123880,5,1,G,Major,70,35,41,41,0,10,3,3,3,True,1
2022,7613,782369383,180,422,G,Major,92,78,62,18,0,6,10,3,2,True,2
2022,3956,502574952,142,127,A#,Major,84,88,53,35,0,8,7,4,3,True,1
2023,1638,207033255,0,21,B,Minor,69,36,90,1,10,15,4,1,2,True,5
2022,924,404887295,17,22,F,Major,59,69,53,12,0,23,3,2,3,True,2
2022,1985,381161027,34,37,B,Minor,75,55,76,25,0,10,15,4,1,True,1
2014,6339,466231982,3,36,F,Minor,56,57,87,0,1,10,4,3,1,True,1
2021,1561,357580552,18,24,G,Minor,59,15,64,43,90,12,10,4,3,True,2
2023,875,61105704,17,27,G,Minor,80,33,70,22,0,9,4,2,2,True,1
2022,406,198275403,3,2,D#,Minor,70,77,48,37,0,12,5,1,3,True,1
2023,340,168448603,4,16,A,Minor,59,56,82,12,0,12,6,2,3,True,2
2018,4188,705469769,30,142,A#,Major,32,17,74,14,0,17,3,2,2,True,2
2023,105,34502215,5,5,B,Minor,54,19,48,36,0,37,5,2,3,False,1
2022,1524,482175240,53,62,G,Major,82,67,69,0,0,18,4,4,2,True,3
2022,2651,304118600,21,32,G#,Major,89,61,66,17,0,36,16,1,1,True,2
2018,11087,1449799467,151,801,C#,Major,45,17,60,21,0,33,4,2,3,True,3
2023,373,173627354,4,5,G,Major,62,32,76,0,0,39,4,2,2,True,2
2023,200,90025258,8,2,G,Minor,70,86,68,24,0,11,4,1,2,True,2
2021,3741,652704649,156,110,A#,Major,77,84,71,35,0,15,4,1,3,True,1
2002,32502,1829992958,247,"5,567",D,Major,70,6,73,1,0,36,26,1,3,True,2
2002,7615,655466831,18,"1,005",E,Minor,80,64,76,2,0,20,6,2,2,True,1
2023,1208,146409671,10,20,B,Major,82,53,67,34,0,9,8,2,1,True,1
2023,209,95816024,4,11,G,Minor,73,44,57,39,0,32,6,2,1,True,1
2023,1235,117206995,20,15,F,Minor,65,71,56,4,0,15,20,2,1,True,1
